Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),O2 B1S1 sensor voltage(V),O2 B1S2 sensor voltage(V),beahavior
13.725489999999999,1770,19,0.85,0.675,safe
8.627450999999999,1761,19,0.14,0.68,safe
8.627450999999999,1661,17,0.9,0.68,safe
7.8431372999999995,1653,17,0.17,0.685,safe
11.764706,1673,17,0.09,0.685,safe
16.862745,1798,20,0.88,0.69,safe
18.823529,2080,22,0.385,0.685,safe
20.0,2297,24,0.875,0.69,safe
7.8431372999999995,1774,24,0.86,0.69,safe
11.764706,1580,23,0.065,0.675,safe
13.725489999999999,1573,25,0.115,0.695,safe
13.725489999999999,1673,26,0.12,0.7,safe
12.941175999999999,1725,27,0.835,0.7,safe
11.764706,1748,27,0.46,0.7,safe
7.8431372999999995,1709,26,0.335,0.705,safe
6.6666667,1510,23,0.9,0.705,safe
5.8823529,1107,19,0.855,0.705,safe
4.7058824,1171,14,0.095,0.71,safe
7.8431372999999995,1142,12,0.78,0.71,safe
12.941175999999999,1393,15,0.25,0.705,safe
11.764706,1620,17,0.75,0.71,safe
7.8431372999999995,1495,16,0.87,0.71,safe
5.8823529,1305,13,0.135,0.715,safe
4.7058824,1132,12,0.86,0.715,safe
6.6666667,1085,11,0.17,0.71,safe
10.980392,1184,12,0.12,0.71,safe
13.725489999999999,1416,15,0.845,0.715,safe
13.725489999999999,1653,17,0.1,0.705,safe
13.725489999999999,1811,19,0.775,0.71,safe
16.862745,2013,22,0.885,0.71,safe
11.764706,1941,22,0.13,0.71,safe
10.980392,1468,22,0.135,0.71,safe
12.941175999999999,1477,23,0.08,0.69,safe
12.941175999999999,1561,25,0.755,0.71,safe
13.725489999999999,1625,25,0.855,0.71,safe
13.725489999999999,1698,26,0.14,0.71,safe
12.941175999999999,1740,27,0.485,0.715,safe
12.941175999999999,1786,28,0.9,0.715,safe
10.980392,1796,28,0.23,0.71,safe
10.980392,1800,28,0.875,0.715,safe
9.8039216,1800,28,0.305,0.715,safe
8.627450999999999,1779,28,0.87,0.715,safe
7.8431372999999995,1757,28,0.105,0.715,safe
5.8823529,1711,27,0.84,0.705,safe
5.8823529,1646,25,0.915,0.71,safe
6.6666667,1540,24,0.835,0.715,safe
5.8823529,1504,23,0.37,0.71,safe
6.6666667,1477,23,0.61,0.72,safe
7.8431372999999995,1447,22,0.87,0.715,safe
6.6666667,1410,22,0.565,0.72,safe
7.8431372999999995,1391,21,0.1,0.72,safe
8.627450999999999,1402,22,0.085,0.72,safe
8.627450999999999,1407,22,0.77,0.72,safe
6.6666667,1367,21,0.905,0.72,safe
5.8823529,1181,18,0.885,0.72,safe
4.7058824,968,13,0.82,0.72,safe
5.8823529,966,10,0.13,0.725,safe
8.627450999999999,1017,11,0.115,0.725,safe
11.764706,1228,13,0.755,0.725,safe
13.725489999999999,1504,16,0.12,0.73,safe
13.725489999999999,1651,17,0.845,0.73,safe
17.647059,1928,21,0.25,0.735,safe
18.823529,2155,23,0.36,0.73,safe
6.6666667,1704,22,0.935,0.74,safe
10.980392,1457,23,0.07,0.73,safe
10.980392,1498,23,0.68,0.735,safe
6.6666667,1476,23,0.905,0.74,safe
6.6666667,1367,21,0.84,0.74,safe
4.7058824,1238,19,0.175,0.74,safe
7.8431372999999995,1140,17,0.445,0.745,safe
13.725489999999999,1267,20,0.59,0.75,safe
13.725489999999999,1414,22,0.845,0.75,safe
13.725489999999999,1536,24,0.105,0.75,safe
13.725489999999999,1617,26,0.63,0.75,safe
12.941175999999999,1675,27,0.86,0.75,safe
12.941175999999999,1737,27,0.125,0.75,safe
11.764706,1755,27,0.88,0.75,safe
9.8039216,1742,28,0.21,0.75,safe
9.8039216,1716,27,0.835,0.75,safe
9.8039216,1703,27,0.11,0.75,safe
10.980392,1730,27,0.84,0.75,safe
9.8039216,1734,26,0.495,0.75,safe
8.627450999999999,1702,27,0.595,0.75,safe
7.8431372999999995,1664,25,0.475,0.755,safe
7.8431372999999995,1670,26,0.88,0.755,safe
5.8823529,1558,24,0.115,0.75,safe
6.6666667,1440,22,0.87,0.755,safe
6.6666667,1373,21,0.36,0.755,safe
6.6666667,1331,20,0.305,0.755,safe
6.6666667,1096,18,0.87,0.76,safe
10.980392,1264,20,0.11,0.765,safe
12.941175999999999,1343,21,0.85,0.775,safe
12.941175999999999,1421,22,0.13,0.775,safe
12.941175999999999,1482,23,0.795,0.775,safe
7.8431372999999995,1444,22,0.9,0.775,safe
5.8823529,1318,20,0.325,0.775,safe
4.7058824,1153,18,0.88,0.78,safe
3.9215686,1012,15,0.855,0.775,safe
3.9215686,910,14,0.185,0.775,safe
4.7058824,969,12,0.835,0.775,safe
5.8823529,988,9,0.12,0.78,safe
5.8823529,1001,5,0.4,0.78,safe
5.8823529,1001,2,0.095,0.785,safe
5.8823529,1001,1,0.13,0.78,safe
13.725489999999999,1150,5,0.865,0.785,safe
15.686275,1763,10,0.825,0.785,safe
20.0,2197,12,0.105,0.78,safe
10.980392,1109,12,0.12,0.79,safe
14.901960999999998,1305,14,0.125,0.79,safe
16.862745,1633,17,0.755,0.79,safe
17.647059,1909,20,0.86,0.785,safe
18.823529,2135,23,0.105,0.785,safe
5.8823529,1629,22,0.945,0.785,safe
12.941175999999999,1385,22,0.07,0.775,safe
13.725489999999999,1490,23,0.53,0.785,safe
13.725489999999999,1579,25,0.19,0.785,safe
13.725489999999999,1672,26,0.675,0.785,safe
13.725489999999999,1741,27,0.855,0.785,safe
12.941175999999999,1772,27,0.885,0.78,safe
9.8039216,1786,28,0.785,0.78,safe
9.8039216,1790,28,0.63,0.78,safe
8.627450999999999,1754,28,0.19,0.785,safe
9.8039216,1767,27,0.325,0.78,safe
11.764706,1754,28,0.785,0.785,safe
11.764706,1776,28,0.74,0.785,safe
10.980392,1783,28,0.74,0.785,safe
10.980392,1802,28,0.72,0.78,safe
9.8039216,1805,28,0.875,0.785,safe
4.7058824,1758,27,0.845,0.78,safe
4.7058824,1702,26,0.93,0.78,safe
6.6666667,1495,23,0.125,0.785,safe
6.6666667,1316,20,0.34,0.78,safe
5.8823529,1213,19,0.87,0.785,safe
5.8823529,1122,17,0.88,0.785,safe
10.980392,1245,20,0.08,0.77,safe
11.764706,1402,22,0.675,0.785,safe
9.8039216,1516,23,0.76,0.785,safe
9.8039216,1597,25,0.115,0.78,safe
10.980392,1667,26,0.815,0.785,safe
7.8431372999999995,1704,27,0.8,0.78,safe
7.8431372999999995,1695,26,0.15,0.78,safe
8.627450999999999,1750,27,0.145,0.785,safe
7.8431372999999995,1746,28,0.865,0.785,safe
7.8431372999999995,1748,27,0.78,0.785,safe
7.8431372999999995,1736,27,0.145,0.785,safe
8.627450999999999,1714,27,0.685,0.78,safe
9.8039216,1745,27,0.485,0.785,safe
9.8039216,1747,27,0.095,0.775,safe
10.980392,1776,28,0.805,0.78,safe
10.980392,1813,28,0.83,0.78,safe
9.8039216,1825,29,0.23,0.785,safe
9.8039216,1834,28,0.24,0.78,safe
8.627450999999999,1840,28,0.765,0.78,safe
8.627450999999999,1842,28,0.87,0.78,safe
8.627450999999999,1846,29,0.12,0.775,safe
8.627450999999999,1812,29,0.795,0.775,safe
8.627450999999999,1757,28,0.1,0.67,safe
4.7058824,1721,27,0.93,0.775,safe
5.8823529,1636,26,0.205,0.775,safe
5.8823529,1485,23,0.865,0.775,safe
5.8823529,1336,21,0.355,0.78,safe
4.7058824,1221,19,0.885,0.775,safe
4.7058824,1108,17,0.865,0.775,safe
3.9215686,1028,16,0.685,0.78,safe
3.9215686,925,14,0.13,0.775,safe
3.9215686,946,14,0.795,0.775,safe
3.9215686,902,11,0.115,0.78,safe
3.9215686,748,6,0.9,0.78,safe
3.9215686,867,2,0.15,0.775,safe
7.8431372999999995,1131,6,0.09,0.78,safe
12.941175999999999,1882,11,0.855,0.8,safe
5.8823529,1666,12,0.78,0.795,safe
10.980392,1161,12,0.08,0.48,safe
13.725489999999999,1407,15,0.285,0.805,safe
11.764706,1626,17,0.66,0.8,safe
7.8431372999999995,1643,17,0.83,0.79,safe
8.627450999999999,1612,17,0.18,0.79,safe
5.8823529,1524,16,0.895,0.795,safe
9.8039216,1554,16,0.085,0.79,safe
9.8039216,1586,16,0.81,0.785,safe
11.764706,1632,17,0.335,0.79,safe
13.725489999999999,1791,19,0.15,0.785,safe
14.901960999999998,2015,21,0.335,0.785,safe
17.647059,2195,23,0.62,0.785,safe
6.6666667,1682,23,0.925,0.785,safe
11.764706,1497,23,0.06,0.155,safe
11.764706,1552,24,0.735,0.78,safe
12.941175999999999,1629,26,0.125,0.78,safe
13.725489999999999,1713,27,0.755,0.78,safe
13.725489999999999,1764,28,0.845,0.78,safe
11.764706,1840,28,0.345,0.785,safe
11.764706,1841,29,0.84,0.78,safe
10.980392,1866,29,0.835,0.775,safe
10.980392,1872,29,0.19,0.775,safe
10.980392,1874,29,0.83,0.775,safe
11.764706,1891,30,0.785,0.775,safe
10.980392,1933,30,0.62,0.775,safe
10.980392,1930,30,0.85,0.775,safe
9.8039216,1932,30,0.13,0.77,safe
9.8039216,1915,30,0.47,0.77,safe
5.8823529,1863,29,0.915,0.77,safe
5.8823529,1848,27,0.11,0.765,safe
6.6666667,1599,25,0.845,0.765,safe
5.8823529,1177,20,0.235,0.765,safe
4.7058824,1029,15,0.16,0.77,safe
5.8823529,1010,10,0.8,0.765,safe
5.8823529,989,6,0.13,0.765,safe
5.8823529,992,2,0.64,0.765,safe
12.941175999999999,1242,7,0.415,0.63,safe
15.686275,1993,11,0.845,0.76,safe
4.7058824,1691,12,0.88,0.76,safe
13.725489999999999,1248,13,0.055,0.105,safe
14.901960999999998,1559,16,0.82,0.685,safe
14.901960999999998,1792,19,0.095,0.73,safe
13.725489999999999,1935,20,0.42,0.755,safe
11.764706,1986,21,0.845,0.755,safe
8.627450999999999,1920,20,0.085,0.755,safe
5.8823529,1833,19,0.865,0.745,safe
5.8823529,1684,17,0.83,0.745,safe
5.8823529,1546,16,0.265,0.75,safe
10.980392,1360,14,0.055,0.16,safe
12.941175999999999,1639,17,0.135,0.225,safe
13.725489999999999,1802,19,0.38,0.695,safe
13.725489999999999,1927,20,0.825,0.74,safe
13.725489999999999,2025,21,0.705,0.75,safe
10.980392,2071,22,0.745,0.755,safe
7.8431372999999995,2008,21,0.78,0.755,safe
9.8039216,1966,21,0.16,0.755,safe
6.6666667,1849,20,0.63,0.75,safe
4.7058824,1715,18,0.905,0.755,safe
6.6666667,1364,14,0.18,0.755,safe
6.6666667,1198,12,0.835,0.755,safe
9.8039216,1216,13,0.1,0.75,safe
11.764706,1402,15,0.525,0.75,safe
12.941175999999999,1525,16,0.83,0.75,safe
13.725489999999999,1770,18,0.55,0.755,safe
16.862745,1971,21,0.83,0.755,safe
18.823529,2191,23,0.18,0.75,safe
7.8431372999999995,1829,23,0.875,0.76,safe
13.725489999999999,1530,24,0.065,0.72,safe
15.686275,1685,26,0.81,0.75,safe
15.686275,1789,28,0.64,0.75,safe
15.686275,1876,29,0.13,0.75,safe
15.686275,1964,30,0.795,0.75,safe
15.686275,2027,31,0.83,0.755,safe
17.647059,2102,33,0.125,0.75,safe
16.862745,2220,35,0.125,0.745,safe
18.823529,2307,36,0.785,0.75,safe
18.823529,2391,38,0.84,0.75,safe
18.823529,2475,39,0.71,0.745,safe
3.9215686,1668,39,0.95,0.77,safe
11.764706,1851,38,0.06,0.695,safe
13.725489999999999,1886,39,0.81,0.75,safe
13.725489999999999,1917,39,0.14,0.75,safe
14.901960999999998,1965,40,0.315,0.745,safe
13.725489999999999,1983,41,0.77,0.745,safe
13.725489999999999,2020,41,0.845,0.745,safe
13.725489999999999,2009,42,0.235,0.745,safe
13.725489999999999,2006,41,0.215,0.745,safe
12.941175999999999,2006,41,0.795,0.74,safe
11.764706,2006,41,0.15,0.745,safe
4.7058824,1952,40,0.93,0.745,safe
4.7058824,1879,39,0.9,0.75,safe
4.7058824,1811,37,0.83,0.75,safe
4.7058824,1733,35,0.11,0.75,safe
5.8823529,1636,33,0.05,0.745,safe
5.8823529,1467,30,0.71,0.75,safe
5.8823529,1292,26,0.135,0.75,safe
4.7058824,1061,22,0.865,0.755,safe
4.7058824,878,16,0.9,0.745,safe
5.8823529,991,10,0.435,0.75,safe
5.8823529,1001,6,0.105,0.75,safe
5.8823529,1003,3,0.415,0.75,safe
5.8823529,1011,2,0.135,0.755,safe
5.8823529,1027,1,0.805,0.76,safe
9.8039216,1139,3,0.06,0.75,safe
6.6666667,972,5,0.06,0.76,safe
14.901960999999998,1786,10,0.055,0.755,safe
12.941175999999999,1925,12,0.06,0.74,safe
14.901960999999998,1243,12,0.05,0.24,safe
17.647059,1580,17,0.815,0.77,safe
20.0,1871,20,0.765,0.765,safe
20.784314000000002,2185,23,0.1,0.75,safe
9.8039216,1871,24,0.67,0.76,safe
14.901960999999998,1540,24,0.05,0.08,safe
15.686275,1664,26,0.825,0.69,safe
15.686275,1764,28,0.08,0.73,safe
14.901960999999998,1846,29,0.15,0.74,safe
11.764706,1878,30,0.76,0.76,safe
10.980392,1900,30,0.165,0.755,safe
10.980392,1907,30,0.145,0.755,safe
10.980392,1928,30,0.44,0.76,safe
11.764706,1925,30,0.83,0.755,safe
10.980392,1938,30,0.155,0.755,safe
11.764706,1936,30,0.845,0.755,safe
12.941175999999999,1961,30,0.64,0.755,safe
12.941175999999999,1983,31,0.275,0.755,safe
11.764706,2028,32,0.835,0.75,safe
10.980392,2005,31,0.345,0.75,safe
10.980392,1990,31,0.125,0.75,safe
9.8039216,1993,31,0.165,0.745,safe
8.627450999999999,1977,31,0.8,0.75,safe
10.980392,1974,31,0.81,0.75,safe
10.980392,1994,31,0.16,0.75,safe
11.764706,2029,32,0.12,0.745,safe
12.941175999999999,2069,33,0.795,0.75,safe
14.901960999999998,2153,34,0.77,0.75,safe
15.686275,2212,35,0.09,0.75,safe
