Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),Intake air temp(C),Abs throttle position(%),beahavior
10.980392,2124,44,37.0,11.372549000000001,safe
11.764706,2129,44,37.0,4.7058824,safe
4.7058824,2100,43,37.0,12.54902,safe
11.764706,2090,43,37.0,14.509804,safe
15.686275,2089,43,37.0,12.941175999999999,safe
13.725489999999999,2096,43,37.0,12.156863000000001,safe
11.764706,2134,44,37.0,9.8039216,safe
9.8039216,2129,44,37.0,8.235294099999999,safe
7.8431372999999995,2132,44,37.0,9.019607800000001,safe
8.627450999999999,2116,43,37.0,10.196078,safe
9.8039216,2104,43,37.0,9.411764699999999,safe
9.8039216,2106,43,37.0,9.411764699999999,safe
9.8039216,2102,43,37.0,10.588235000000001,safe
10.980392,2095,43,37.0,11.372549000000001,safe
11.764706,2086,43,37.0,11.372549000000001,safe
11.764706,2077,43,37.0,11.372549000000001,safe
11.764706,2078,43,37.0,10.980392,safe
10.980392,2072,43,37.0,7.0588235,safe
5.8823529,1997,42,37.0,12.156863000000001,safe
11.764706,2004,41,37.0,12.156863000000001,safe
11.764706,1998,41,37.0,12.156863000000001,safe
11.764706,2027,42,37.0,11.372549000000001,safe
11.764706,1980,41,37.0,12.156863000000001,safe
12.941175999999999,1946,40,37.0,13.333332999999998,safe
13.725489999999999,1911,39,37.0,13.333332999999998,safe
13.725489999999999,1925,39,37.0,13.333332999999998,safe
13.725489999999999,1948,40,37.0,11.764706,safe
11.764706,2038,42,37.0,9.019607800000001,safe
8.627450999999999,2100,43,37.0,8.235294099999999,safe
7.8431372999999995,2137,44,37.0,8.235294099999999,safe
7.8431372999999995,2120,44,37.0,8.627450999999999,safe
7.8431372999999995,2123,44,37.0,8.627450999999999,safe
7.8431372999999995,2110,43,37.0,8.235294099999999,safe
7.8431372999999995,2090,43,37.0,8.627450999999999,safe
8.627450999999999,2087,43,37.0,8.627450999999999,safe
10.980392,2081,43,37.0,10.196078,safe
9.8039216,2051,42,37.0,10.196078,safe
9.8039216,2054,42,37.0,10.588235000000001,safe
10.980392,2048,42,37.0,10.588235000000001,safe
10.980392,2028,42,37.0,10.980392,safe
10.980392,2010,41,37.0,10.588235000000001,safe
10.980392,2011,41,37.0,10.588235000000001,safe
10.980392,2005,41,37.0,10.196078,safe
9.8039216,1987,41,37.0,10.588235000000001,safe
10.980392,1979,41,37.0,10.588235000000001,safe
9.8039216,1966,40,37.0,10.588235000000001,safe
10.980392,1972,41,37.0,10.588235000000001,safe
10.980392,1964,40,37.0,10.588235000000001,safe
9.8039216,1960,40,37.0,9.019607800000001,safe
8.627450999999999,1965,41,37.0,9.019607800000001,safe
8.627450999999999,1982,41,37.0,9.019607800000001,safe
8.627450999999999,1996,41,37.0,9.019607800000001,safe
8.627450999999999,2008,41,37.0,9.019607800000001,safe
