data0x03,data0x04,data0x05,data0x06,data0x07,data0x0b,data0x0c,data0x0d,data0x0e,data0x0f,data0x11,data0x14,extra0x14,data0x015,beahavior
2,4.7058824,81,25.78125,93.75,28,1641,26,-61.5,34.0,4.7058824,0.845,21.09375,0.84,safe
2,3.9215686,81,15.625,98.4375,37,1593,25,-29.0,35.0,7.450980400000001,0.815,3.90625,0.845,safe
2,6.6666667,81,-1.5625,99.21875,38,1705,27,-27.0,35.0,6.6666667,0.215,1.5625,0.84,safe
2,6.6666667,81,9.375,96.875,35,1760,27,-22.0,35.0,1.9607843,0.07,28.90625,0.84,safe
2,2.745098,80,28.90625,92.96875,29,1633,26,-21.5,35.0,6.6666667,0.15,21.875,0.84,safe
2,6.6666667,80,17.1875,99.21875,40,1679,26,-27.5,35.0,7.0588235,0.75,-7.03125,0.84,safe
2,5.8823529,80,11.71875,91.40625,24,1669,26,-28.5,35.0,5.0980392,0.8,22.65625,0.84,safe
2,4.7058824,80,21.09375,97.65625,25,1615,25,-24.0,35.0,4.7058824,0.91,31.25,0.845,safe
2,4.7058824,80,18.75,99.21875,30,1464,23,48.5,35.0,7.8431372999999995,0.24,36.71875,0.845,safe
2,5.8823529,80,21.09375,99.21875,45,1428,22,-33.5,35.0,6.6666667,0.7,0.78125,0.86,safe
2,6.6666667,81,0.78125,99.21875,39,1514,23,-25.5,35.0,4.313725499999999,0.155,-9.375,0.86,safe
2,4.7058824,81,14.0625,99.21875,31,1455,23,-62.5,35.0,4.7058824,0.775,1.5625,0.85,safe
2,3.9215686,81,19.53125,99.21875,31,1210,19,54.5,35.0,3.1372549,0.815,29.6875,0.845,safe
2,1.9607843,81,23.4375,99.21875,38,831,13,53.5,35.0,5.4901960999999995,0.86,10.9375,0.85,safe
2,4.7058824,81,18.75,89.0625,54,1278,13,-45.0,35.0,10.980392,0.09,25.78125,0.845,safe
2,11.764706,81,26.5625,-3.90625,61,1834,20,-38.0,35.0,12.941175999999999,0.815,19.53125,0.845,safe
2,10.980392,82,0.0,78.125,26,1545,22,-61.5,35.0,13.725489999999999,0.11,-1.5625,0.845,safe
2,12.941175999999999,81,25.78125,-10.15625,64,1693,27,-40.0,35.0,9.411764699999999,0.865,12.5,0.835,safe
2,6.6666667,82,25.78125,85.9375,30,1764,27,-38.5,35.0,6.6666667,0.85,3.125,0.83,safe
2,6.6666667,82,6.25,99.21875,37,1726,27,-35.0,35.0,6.6666667,0.165,10.9375,0.83,safe
2,5.8823529,82,10.15625,94.53125,32,1703,27,-26.0,35.0,5.8823529,0.125,25.0,0.82,safe
2,4.7058824,82,14.0625,96.09375,29,1575,25,-47.5,35.0,3.9215686,0.825,-3.125,0.825,safe
2,3.9215686,82,13.28125,99.21875,28,1336,20,54.5,35.0,4.313725499999999,0.075,45.3125,0.825,safe
2,9.8039216,82,35.15625,7.03125,74,1354,21,-49.0,35.0,12.54902,0.855,28.90625,0.845,safe
2,12.941175999999999,82,27.34375,18.75,56,1658,26,-34.5,35.0,9.411764699999999,0.86,3.125,0.855,safe
2,8.627450999999999,82,-13.28125,96.875,44,1764,28,-28.5,35.0,7.8431372999999995,0.09,9.375,0.84,safe
2,7.8431372999999995,82,11.71875,99.21875,37,1798,28,-24.0,35.0,7.0588235,0.13,6.25,0.835,safe
2,6.6666667,82,0.78125,93.75,35,1805,28,-24.5,35.0,6.6666667,0.86,1.5625,0.835,safe
2,6.6666667,82,0.78125,90.625,33,1788,28,-23.5,35.0,6.6666667,0.835,9.375,0.83,safe
2,5.8823529,82,12.5,89.0625,32,1740,27,-40.5,35.0,2.3529412,0.09,29.6875,0.825,safe
2,2.745098,82,44.53125,99.21875,27,1479,23,52.0,35.0,3.5294117999999997,0.8,27.34375,0.835,safe
2,6.6666667,82,22.65625,17.1875,63,1318,21,-50.0,36.0,13.333332999999998,0.155,32.03125,0.845,safe
2,12.941175999999999,82,20.3125,-7.03125,69,1615,25,-44.5,35.0,12.54902,0.85,27.34375,0.84,safe
2,12.941175999999999,82,28.125,63.28125,53,1764,27,-37.5,35.0,10.588235000000001,0.805,0.78125,0.85,safe
2,10.980392,82,6.25,71.875,52,1780,28,-37.5,35.0,10.980392,0.22,4.6875,0.84,safe
2,10.980392,82,-1.5625,70.3125,52,1764,27,-35.5,35.0,9.8039216,0.49,-7.8125,0.835,safe
2,9.8039216,82,3.90625,85.15625,46,1697,27,-26.5,35.0,4.313725499999999,0.07,25.78125,0.83,safe
2,4.7058824,82,32.8125,99.21875,35,1456,22,62.5,35.0,4.7058824,0.885,14.84375,0.83,safe
2,5.8823529,82,3.90625,-30.46875,62,1281,19,-50.5,35.0,14.117647,0.08,18.75,0.835,safe
2,13.725489999999999,83,20.3125,15.625,75,1521,24,-49.0,35.0,14.117647,0.825,18.75,0.835,safe
2,14.901960999999998,83,27.34375,-5.46875,70,1645,26,-44.0,35.0,12.941175999999999,0.765,25.0,0.825,safe
2,12.941175999999999,83,21.09375,16.40625,57,1733,26,-41.0,35.0,11.764706,0.82,18.75,0.82,safe
2,12.941175999999999,83,23.4375,14.84375,59,1771,27,-40.0,35.0,12.156863000000001,0.83,17.96875,0.82,safe
2,12.941175999999999,83,12.5,37.5,54,1770,28,-36.5,35.0,9.411764699999999,0.85,-6.25,0.83,safe
2,10.980392,83,-7.8125,71.09375,54,1769,27,-40.0,35.0,10.980392,0.175,10.9375,0.82,safe
2,11.764706,83,3.125,41.40625,55,1787,28,-38.0,35.0,10.980392,0.38,-2.34375,0.815,safe
2,11.764706,83,0.78125,52.34375,54,1831,28,-37.0,35.0,10.196078,0.785,-4.6875,0.815,safe
2,8.627450999999999,83,6.25,94.53125,50,1854,29,-37.0,35.0,11.764706,0.095,11.71875,0.81,safe
2,11.764706,83,6.25,66.40625,51,1950,30,-28.5,35.0,5.0980392,0.085,14.0625,0.8,safe
2,5.8823529,83,25.0,79.6875,31,1852,29,-25.0,35.0,1.5686275,0.29,28.125,0.805,safe
2,2.745098,83,10.15625,92.96875,21,1612,25,-25.5,35.0,3.9215686,0.41,-7.03125,0.82,safe
2,3.9215686,83,18.75,99.21875,48,1332,21,-46.5,35.0,13.333332999999998,0.2,23.4375,0.84,safe
2,12.941175999999999,83,25.0,-12.5,64,1637,25,-42.0,36.0,10.196078,0.875,15.625,0.85,safe
2,9.8039216,83,0.0,97.65625,41,1795,28,-21.0,35.0,5.8823529,0.08,35.15625,0.845,safe
2,5.8823529,83,28.90625,89.0625,32,1793,28,-30.5,35.0,4.313725499999999,0.12,21.09375,0.835,safe
2,5.8823529,83,33.59375,89.0625,32,1774,28,-28.0,35.0,5.8823529,0.12,26.5625,0.835,safe
2,4.7058824,83,36.71875,83.59375,21,1743,27,-33.5,35.0,5.0980392,0.9,24.21875,0.845,safe
2,4.7058824,83,11.71875,90.625,28,1681,26,-27.0,35.0,6.6666667,0.88,15.625,0.845,safe
2,5.8823529,83,3.125,88.28125,32,1779,28,-21.0,35.0,5.0980392,0.2,13.28125,0.84,safe
2,4.7058824,83,32.03125,78.90625,25,1809,28,-38.5,35.0,3.5294117999999997,0.56,8.59375,0.835,safe
2,3.9215686,83,35.9375,85.9375,28,1728,26,-22.0,36.0,4.313725499999999,0.88,36.71875,0.845,safe
2,3.9215686,82,32.8125,85.15625,25,1740,27,-20.5,36.0,3.1372549,0.875,30.46875,0.855,safe
2,2.745098,82,17.96875,89.0625,21,1696,26,-20.5,36.0,3.1372549,0.105,11.71875,0.865,safe
2,2.745098,82,37.5,98.4375,26,1672,26,59.5,36.0,5.8823529,0.29,30.46875,0.86,safe
2,5.8823529,82,32.8125,98.4375,25,1702,27,-20.5,36.0,3.9215686,0.31,13.28125,0.865,safe
2,3.9215686,82,17.1875,97.65625,22,1707,27,-20.5,36.0,3.5294117999999997,0.505,28.125,0.86,safe
2,2.745098,82,42.1875,98.4375,21,1617,25,-21.0,36.0,3.1372549,0.15,42.96875,0.855,safe
2,2.745098,82,35.15625,99.21875,22,1593,25,-21.0,36.0,3.1372549,0.8,16.40625,0.875,safe
2,2.745098,82,25.78125,99.21875,29,1581,25,-50.0,36.0,8.235294099999999,0.905,27.34375,0.875,safe
2,9.8039216,82,12.5,62.5,52,1640,25,-35.5,36.0,9.019607800000001,0.215,-1.5625,0.855,safe
2,6.6666667,82,25.78125,97.65625,29,1770,27,-20.0,36.0,4.7058824,0.435,46.875,0.845,safe
2,4.7058824,82,27.34375,96.875,25,1769,27,-20.0,36.0,3.9215686,0.15,17.1875,0.845,safe
2,3.9215686,82,34.375,96.875,23,1725,27,-20.0,36.0,3.1372549,0.37,36.71875,0.84,safe
2,2.745098,82,18.75,98.4375,20,1701,27,-20.5,36.0,3.1372549,0.8,32.03125,0.845,safe
2,2.745098,82,43.75,99.21875,21,1651,25,-21.0,36.0,3.1372549,0.895,41.40625,0.865,safe
2,4.7058824,81,29.6875,99.21875,29,1313,20,58.5,36.0,3.5294117999999997,0.15,36.71875,0.86,safe
2,2.745098,81,27.34375,99.21875,35,887,10,-52.0,36.0,2.3529412,0.83,17.1875,0.86,safe
2,2.745098,82,10.15625,99.21875,47,1086,11,-48.0,36.0,10.980392,0.07,14.0625,0.86,safe
2,11.764706,82,30.46875,67.96875,51,1936,20,-47.0,36.0,2.745098,0.08,0.0,0.84,safe
4,4.7058824,82,-6.25,99.21875,38,1463,22,-29.5,36.0,6.6666667,0.09,3.125,0.83,safe
2,6.6666667,82,9.375,99.21875,37,1694,27,-20.5,36.0,3.1372549,0.075,13.28125,0.83,safe
2,3.9215686,82,41.40625,97.65625,25,1737,27,52.0,36.0,5.4901960999999995,0.065,46.09375,0.83,safe
2,4.7058824,81,52.34375,98.4375,30,1650,26,55.0,36.0,6.2745098,0.83,32.8125,0.835,safe
2,4.7058824,81,19.53125,97.65625,27,1713,26,-20.5,36.0,3.1372549,0.295,41.40625,0.835,safe
2,2.745098,81,34.375,98.4375,21,1657,26,-62.5,36.0,4.313725499999999,0.86,46.09375,0.84,safe
2,4.7058824,81,32.8125,97.65625,29,1689,26,-20.5,36.0,5.4901960999999995,0.105,39.0625,0.845,safe
2,4.7058824,81,34.375,96.875,24,1719,27,-20.0,36.0,3.9215686,0.825,13.28125,0.87,safe
2,3.9215686,81,0.78125,97.65625,23,1720,27,-20.5,36.0,3.9215686,0.07,37.5,0.86,safe
2,3.9215686,80,32.8125,96.875,25,1740,27,-20.0,36.0,5.8823529,0.7,10.9375,0.85,safe
2,5.8823529,80,32.03125,96.875,29,1831,29,-20.5,36.0,5.8823529,0.105,35.15625,0.845,safe
2,5.8823529,80,31.25,94.53125,20,1864,29,-46.0,36.0,5.4901960999999995,0.84,22.65625,0.84,safe
2,5.8823529,80,15.625,96.09375,23,1827,28,-20.0,36.0,5.0980392,0.13,53.125,0.84,safe
